[2026-05-08 15:38:59,267] INFO tracking_app logging mechanism test entry
[2026-05-08 15:40:07,251] INFO django.utils.autoreload Watching for file changes with StatReloader
[2026-05-08 15:40:15,708] INFO tracking_app.views logout_view: logging out user_id=3
[2026-05-08 15:40:15,873] INFO tracking_app.views logout_view: redirecting to allmaps
[2026-05-08 15:40:15,881] INFO django.server "GET /logout/ HTTP/1.1" 302 0
[2026-05-08 15:40:15,905] INFO tracking_app.views allmaps_view: request started
[2026-05-08 15:40:15,913] INFO tracking_app.views allmaps_view: loaded 0 records from session
[2026-05-08 15:40:15,914] INFO tracking_app.views allmaps_view: fetching vessel data from API url=https://shiptrackingapi-787201059405.asia-south2.run.app/VesselTracking/GetAll
[2026-05-08 15:40:17,483] INFO tracking_app.views allmaps_view: API response status_code=200
[2026-05-08 15:40:17,490] INFO tracking_app.views allmaps_view: API records loaded count=1113
[2026-05-08 15:40:17,490] INFO tracking_app.views allmaps_view: stored records in session count=1113
[2026-05-08 15:40:17,491] INFO tracking_app.views allmaps_view: creating base map
[2026-05-08 15:40:17,493] INFO tracking_app.views allmaps_view: adding tile layers
[2026-05-08 15:40:17,526] INFO tracking_app.views allmaps_view: grouping vessel records into routes
[2026-05-08 15:40:17,541] INFO tracking_app.views allmaps_view: route grouping complete route_count=10
[2026-05-08 15:40:17,542] INFO tracking_app.views allmaps_view: preparing vessel JavaScript data
[2026-05-08 15:40:17,544] INFO tracking_app.views allmaps_view: building map JavaScript
[2026-05-08 15:40:17,712] INFO tracking_app.views allmaps_view: rendering template
[2026-05-08 15:40:17,949] INFO django.server "GET / HTTP/1.1" 200 606975
[2026-05-08 15:40:18,177] INFO django.server "GET /static/css/bootstrap.min.css HTTP/1.1" 304 0
[2026-05-08 15:40:18,187] INFO django.server "GET /static/js/bootstrap.bundle.min.js HTTP/1.1" 304 0
[2026-05-08 15:40:18,225] INFO django.server "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 200 2
[2026-05-08 15:40:26,092] INFO tracking_app.views login_view: request method=POST
[2026-05-08 15:40:26,093] INFO tracking_app.views login_view: authenticating username=Admin
[2026-05-08 15:40:27,989] INFO tracking_app.views login_view: authentication success username=Admin
[2026-05-08 15:40:28,631] INFO django.server "POST /login/ HTTP/1.1" 200 52
[2026-05-08 15:40:28,731] INFO tracking_app.views user_map_auth_view: request started user_authenticated=True
[2026-05-08 15:40:28,732] INFO tracking_app.views user_map_auth_view: cache status cached_count=0 last_fetch=0 force_refresh=False
[2026-05-08 15:40:28,732] INFO tracking_app.views user_map_auth_view: fetching fresh auth vessel data
[2026-05-08 15:40:28,732] INFO tracking_app.views user_map_auth_view: fetching associated vessels url=https://shiptrackingapiauth-787201059405.asia-south2.run.app/VesselTracking/UserAssociatedVessels/4
[2026-05-08 15:40:29,647] INFO tracking_app.views user_map_auth_view: associated vessels status_code=401
[2026-05-08 15:40:29,647] WARNING tracking_app.views user_map_auth_view: Associated Vessels Error: 401
[2026-05-08 15:40:29,647] INFO tracking_app.views user_map_auth_view: creating base map
[2026-05-08 15:40:29,648] WARNING tracking_app.views user_map_auth_view: showing map error message=Associated Vessels Error: 401
[2026-05-08 15:40:29,649] INFO tracking_app.views user_map_auth_view: adding tile layers
[2026-05-08 15:40:29,661] INFO tracking_app.views user_map_auth_view: grouping vessel records into routes
[2026-05-08 15:40:29,661] INFO tracking_app.views user_map_auth_view: route grouping complete route_count=0
[2026-05-08 15:40:29,661] INFO tracking_app.views user_map_auth_view: preparing vessel JavaScript data
[2026-05-08 15:40:29,662] INFO tracking_app.views user_map_auth_view: building map JavaScript
[2026-05-08 15:40:29,665] INFO tracking_app.views user_map_auth_view: rendering template
[2026-05-08 15:40:29,721] INFO django.server "GET /user_map_auth/ HTTP/1.1" 200 28959
[2026-05-08 15:40:29,965] INFO django.server "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 200 2
[2026-05-08 15:42:01,911] INFO django.utils.autoreload D:\Projects\ShipProject\ShipProject\projects\vitmaps\tracking_app\views.py changed, reloading.
[2026-05-08 15:42:05,207] INFO django.utils.autoreload Watching for file changes with StatReloader
[2026-05-08 15:42:14,055] INFO tracking_app.views user_map_auth_view: request started user_authenticated=True
[2026-05-08 15:42:14,058] INFO tracking_app.views user_map_auth_view: cache status cached_count=0 last_fetch=0 force_refresh=False
[2026-05-08 15:42:14,058] INFO tracking_app.views user_map_auth_view: fetching fresh auth vessel data
[2026-05-08 15:42:14,059] INFO tracking_app.views user_map_auth_view: fetching associated vessels url=https://shiptrackingapiauth-787201059405.asia-south2.run.app/VesselTracking/UserAssociatedVessels/4
[2026-05-08 15:42:15,026] INFO tracking_app.views user_map_auth_view: associated vessels status_code=200
[2026-05-08 15:42:15,026] INFO tracking_app.views user_map_auth_view: associated vessel ids count=4
[2026-05-08 15:42:15,027] INFO tracking_app.views user_map_auth_view: fetching latest vessel records url=https://shiptrackingapiauth-787201059405.asia-south2.run.app/VesselTracking/latestVesselrecord?vesselIds=118,117,120,119
[2026-05-08 15:42:16,021] INFO tracking_app.views user_map_auth_view: latest records status_code=200
[2026-05-08 15:42:16,022] INFO tracking_app.views user_map_auth_view: latest records cached count=4
[2026-05-08 15:42:16,022] INFO tracking_app.views user_map_auth_view: creating base map
[2026-05-08 15:42:16,024] INFO tracking_app.views user_map_auth_view: adding tile layers
[2026-05-08 15:42:16,034] INFO tracking_app.views user_map_auth_view: grouping vessel records into routes
[2026-05-08 15:42:16,034] INFO tracking_app.views user_map_auth_view: route grouping complete route_count=4
[2026-05-08 15:42:16,036] INFO tracking_app.views user_map_auth_view: preparing vessel JavaScript data
[2026-05-08 15:42:16,037] INFO tracking_app.views user_map_auth_view: building map JavaScript
[2026-05-08 15:42:16,042] INFO tracking_app.views user_map_auth_view: rendering template
[2026-05-08 15:42:16,213] INFO django.server "GET /user_map_auth/ HTTP/1.1" 200 31073
[2026-05-08 15:42:16,339] INFO django.server "GET /static/css/bootstrap.min.css HTTP/1.1" 304 0
[2026-05-08 15:42:16,395] INFO django.server "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 200 2
[2026-05-08 15:43:33,496] INFO django.utils.autoreload D:\Projects\ShipProject\ShipProject\projects\vitmaps\tracking_app\views.py changed, reloading.
[2026-05-08 15:43:37,762] INFO django.utils.autoreload Watching for file changes with StatReloader
[2026-05-08 15:44:14,781] INFO django.utils.autoreload Watching for file changes with StatReloader
[2026-05-08 15:44:22,589] INFO tracking_app.views logout_view: logging out user_id=3
[2026-05-08 15:44:22,687] INFO tracking_app.views logout_view: redirecting to allmaps
[2026-05-08 15:44:22,700] INFO django.server "GET /logout/ HTTP/1.1" 302 0
[2026-05-08 15:44:22,719] INFO tracking_app.views allmaps_view: request started
[2026-05-08 15:44:22,720] INFO tracking_app.views allmaps_view: loaded 0 records from session
[2026-05-08 15:44:22,720] INFO tracking_app.views allmaps_view: fetching vessel data from API url=https://shiptrackingapi-787201059405.asia-south2.run.app/VesselTracking/GetAll
[2026-05-08 15:44:24,308] INFO tracking_app.views allmaps_view: API response status_code=200
[2026-05-08 15:44:24,313] INFO tracking_app.views allmaps_view: API records loaded count=1113
[2026-05-08 15:44:24,313] INFO tracking_app.views allmaps_view: stored records in session count=1113
[2026-05-08 15:44:24,313] INFO tracking_app.views allmaps_view: creating base map
[2026-05-08 15:44:24,315] INFO tracking_app.views allmaps_view: adding tile layers
[2026-05-08 15:44:24,336] INFO tracking_app.views allmaps_view: grouping vessel records into routes
[2026-05-08 15:44:24,339] INFO tracking_app.views allmaps_view: route grouping complete route_count=10
[2026-05-08 15:44:24,339] INFO tracking_app.views allmaps_view: preparing vessel JavaScript data
[2026-05-08 15:44:24,343] INFO tracking_app.views allmaps_view: building map JavaScript
[2026-05-08 15:44:24,432] INFO tracking_app.views allmaps_view: rendering template
[2026-05-08 15:44:24,605] INFO django.server "GET / HTTP/1.1" 200 606891
[2026-05-08 15:44:25,717] INFO django.server "GET /static/css/bootstrap.min.css HTTP/1.1" 304 0
[2026-05-08 15:44:25,724] INFO django.server "GET /static/js/bootstrap.bundle.min.js HTTP/1.1" 304 0
[2026-05-08 15:44:25,765] INFO django.server "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 200 2
[2026-05-08 15:44:32,179] INFO tracking_app.views login_view: request method=POST
